reporting_year,priority_rank,priority_tier,founder_id,founder_ico,founder_name,founder_type,school_count,finm_line_count,finm_operating_czk,finm_investment_czk,finm_total_czk,current_support_school_count,current_attributed_czk,evidence_status,recipient_source_kind,recipient_source_basis,recipient_source_parser_status,recipient_source_url,monitor_url
2024,1,large_multi_school,founder:44992785,44992785,Statutární město Brno,obec,177,10,611236629,7988560,619225189,177,4714855208,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=44992785&obdobi=2412
2024,2,large_multi_school,founder:00064581,00064581,Hlavní město Praha,kraj,160,35,4611809205,443770878,5055580083,160,9110508572,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00064581&obdobi=2412
2024,3,large_multi_school,founder:70890692,70890692,Moravskoslezský kraj,kraj,153,36,1292348238,367455911,1659804149,153,8938437191,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70890692&obdobi=2412
2024,4,large_multi_school,founder:70891095,70891095,Středočeský kraj,kraj,151,16,939971476,246198933,1186170409,151,7334759447,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70891095&obdobi=2412
2024,5,large_multi_school,founder:70888337,70888337,Jihomoravský kraj,kraj,144,40,1309496690,593451263,1902947953,144,7320307275,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70888337&obdobi=2412
2024,6,large_multi_school,founder:70890650,70890650,Jihočeský kraj,kraj,109,26,832537411,506299261,1338836672,109,4735749559,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70890650&obdobi=2412
2024,7,large_multi_school,founder:00845451,00845451,Statutární město Ostrava,obec,101,13,519806457,51491493,571297950,101,3754358945,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00845451&obdobi=2412
2024,8,large_multi_school,founder:60609460,60609460,Olomoucký kraj,kraj,93,24,585081545,87975443,673056988,93,4221926362,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=60609460&obdobi=2412
2024,9,large_multi_school,founder:70891320,70891320,Zlínský kraj,kraj,88,17,587543158,155123660,742666818,88,4008385430,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70891320&obdobi=2412
2024,10,large_multi_school,founder:70892156,70892156,Ústecký kraj,kraj,79,24,896157293,85903271,982060564,79,4753457738,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70892156&obdobi=2412
2024,11,large_multi_school,founder:00075370,00075370,Statutární město Plzeň,obec,66,6,287282798,30787060,318069858,66,2101285744,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00075370&obdobi=2412
2024,12,large_multi_school,founder:70892822,70892822,Pardubický kraj,obec,65,20,411245596,106615378,517860974,65,3255098353,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70892822&obdobi=2412
2024,13,large_multi_school,founder:70889546,70889546,Královéhradecký kraj,kraj,64,19,640043474,264541608,904585082,64,3585344872,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70889546&obdobi=2412
2024,14,large_multi_school,founder:70890366,70890366,Plzeňský kraj,kraj,61,25,552547837,487428795,1039976632,61,3603174537,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70890366&obdobi=2412
2024,15,large_multi_school,founder:00262978,00262978,Statutární město Liberec,obec,54,7,223371120,999439,224370559,54,1510607322,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00262978&obdobi=2412
2024,16,large_multi_school,founder:00274046,00274046,Statutární město Pardubice,obec,49,9,154976840,1187140,156163980,49,1318400881,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00274046&obdobi=2412
2024,17,large_multi_school,founder:00081531,00081531,Statutární město Ústí nad Labem,obec,46,5,166048014,1315178,167363192,46,1221214476,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00081531&obdobi=2412
2024,18,large_multi_school,founder:70890749,70890749,Kraj Vysočina,kraj,45,13,561467956,19747281,581215237,45,2717378397,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70890749&obdobi=2412
2024,19,large_multi_school,founder:70891508,70891508,Liberecký kraj,kraj,45,12,435110185,26968066,462078251,45,2316126875,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70891508&obdobi=2412
2024,20,large_multi_school,founder:00063584,00063584,Městská část Praha 4,obec,39,0,0,0,0,39,1473218590,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063584&obdobi=2412
2024,21,large_multi_school,founder:00283924,00283924,Statutární město Zlín,obec,35,4,117269902,24764356,142034258,35,1015340808,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00283924&obdobi=2412
2024,22,large_multi_school,founder:00063703,00063703,Městská část Praha 6,obec,34,0,0,0,0,34,1382840097,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063703&obdobi=2412
2024,23,large_multi_school,founder:00063797,00063797,Městská část Praha 8,obec,33,0,0,0,0,33,1230468795,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063797&obdobi=2412
2024,24,large_multi_school,founder:00063941,00063941,Městská část Praha 10,obec,33,0,0,0,0,33,149430000,recipient_source_cataloged,approved_school_budget,budgeted,ready,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063941&obdobi=2412
2024,25,large_multi_school,founder:00241687,00241687,Městská část Praha 13,obec,32,0,0,0,0,32,917445119,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00241687&obdobi=2412
2024,26,large_multi_school,founder:00244732,00244732,Statutární město České Budějovice,obec,31,6,253959080,81546285,335505365,31,1298701853,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00244732&obdobi=2412
2024,27,large_multi_school,founder:00299308,00299308,Statutární město Olomouc,obec,31,5,199642739,36822522,236465261,31,1386723960,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00299308&obdobi=2412
2024,28,large_multi_school,founder:00297488,00297488,Statutární město Havířov,obec,31,6,176754911,2669278,179424189,31,852661674,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00297488&obdobi=2412
2024,29,large_multi_school,founder:00268810,00268810,Statutární město Hradec Králové,obec,30,8,214952471,9134532,224087003,30,1246405260,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00268810&obdobi=2412
2024,30,large_multi_school,founder:00234516,00234516,Statutární město Kladno,obec,28,4,125217255,4958000,130175255,28,1069816160,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00234516&obdobi=2412
2024,31,large_multi_school,founder:00262340,00262340,Statutární město Jablonec nad Nisou,obec,28,8,98586240,1727816,100314056,28,633597945,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00262340&obdobi=2412
2024,32,large_multi_school,founder:00300535,00300535,Statutární město Opava,obec,27,7,111359840,20861031,132220871,27,691002603,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00300535&obdobi=2412
2024,33,large_multi_school,founder:00063631,00063631,Městská část Praha 5,obec,26,0,0,0,0,26,967127479,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063631&obdobi=2412
2024,34,large_multi_school,founder:70891168,70891168,Karlovarský kraj,kraj,24,17,294869460,116713951,411583411,24,1430367603,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=70891168&obdobi=2412
2024,35,large_multi_school,founder:00266621,00266621,Statutární město Teplice,obec,24,5,138788098,2569279,141357377,24,683312868,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00266621&obdobi=2412
2024,36,large_multi_school,founder:00231126,00231126,Městská část Praha 11,obec,24,0,0,0,0,24,1036038840,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00231126&obdobi=2412
2024,37,large_multi_school,founder:00243132,00243132,Město Příbram,obec,22,6,60392038,3336730,63728768,22,573168956,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00243132&obdobi=2412
2024,38,large_multi_school,founder:00063517,00063517,Městská část Praha 3,obec,22,0,0,0,0,22,771913461,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063517&obdobi=2412
2024,39,large_multi_school,founder:00231151,00231151,Městská část Praha 12,obec,22,0,0,0,0,22,810427937,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00231151&obdobi=2412
2024,40,multi_school,founder:00296643,00296643,Statutární město Frýdek-Místek,obec,20,6,133725602,3570412,137296014,20,796691241,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00296643&obdobi=2412
2024,41,multi_school,founder:00290629,00290629,Město Třebíč,obec,19,6,54766168,1120000,55886168,19,548647925,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00290629&obdobi=2412
2024,42,multi_school,founder:00301825,00301825,Statutární město Přerov,obec,19,6,52937383,2526842,55464225,19,478686103,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00301825&obdobi=2412
2024,43,multi_school,founder:00260428,00260428,Město Česká Lípa,obec,17,7,88655602,2477206,91132808,17,654357442,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00260428&obdobi=2412
2024,44,multi_school,founder:00266094,00266094,Statutární město Most,obec,17,6,86556000,324000,86880000,17,834715159,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00266094&obdobi=2412
2024,45,multi_school,founder:00238295,00238295,Statutární město Mladá Boleslav,obec,17,5,77025515,853417,77878932,17,675657676,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00238295&obdobi=2412
2024,46,multi_school,founder:00063461,00063461,Městská část Praha 2,obec,17,0,0,0,0,17,598255143,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063461&obdobi=2412
2024,47,multi_school,founder:00231312,00231312,Městská část Praha 14,obec,16,0,0,0,0,16,552607265,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00231312&obdobi=2412
2024,48,multi_school,founder:00261238,00261238,Statutární město Děčín,obec,15,5,105140603,1390760,106531363,15,708936324,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00261238&obdobi=2412
2024,49,multi_school,founder:00235440,00235440,Město Kolín,obec,15,6,73204322,868608,74072930,15,557642972,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00235440&obdobi=2412
2024,50,multi_school,founder:00292427,00292427,Město Vyškov,obec,15,5,49953880,4500166,54454046,15,359582323,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00292427&obdobi=2412
2024,51,multi_school,founder:00288659,00288659,Statutární město Prostějov,obec,14,9,129470089,9115865,138585954,14,668128476,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00288659&obdobi=2412
2024,52,multi_school,founder:00286010,00286010,Statutární město Jihlava,obec,14,6,90968000,2857000,93825000,14,853586997,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00286010&obdobi=2412
2024,53,multi_school,founder:00304450,00304450,Město Vsetín,obec,14,4,63834780,12523027,76357807,14,352666109,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00304450&obdobi=2412
2024,54,multi_school,founder:00253979,00253979,Město Cheb,obec,14,5,59056168,932992,59989160,14,448659993,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00253979&obdobi=2412
2024,55,multi_school,founder:00272868,00272868,Město Náchod,obec,14,6,49265806,10081716,59347522,14,282690968,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00272868&obdobi=2412
2024,56,multi_school,founder:00287351,00287351,Město Kroměříž,obec,14,5,48137000,2465000,50602000,14,399753219,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00287351&obdobi=2412
2024,57,multi_school,founder:00063894,00063894,Městská část Praha 9,obec,14,0,0,0,0,14,527198741,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063894&obdobi=2412
2024,58,multi_school,founder:00254657,00254657,Statutární město Karlovy Vary,obec,13,4,65989900,0,65989900,13,690573466,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00254657&obdobi=2412
2024,59,multi_school,founder:00259586,00259586,Město Sokolov,obec,13,5,55144648,1408056,56552704,13,375106059,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00259586&obdobi=2412
2024,60,multi_school,founder:00283061,00283061,Město Břeclav,obec,13,4,49134000,3500000,52634000,13,360109150,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00283061&obdobi=2412
2024,61,multi_school,founder:00279676,00279676,Město Ústí nad Orlicí,obec,13,10,50481504,1387210,51868714,13,228070357,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00279676&obdobi=2412
2024,62,multi_school,founder:00276227,00276227,Město Turnov,obec,13,6,37849534,100000,37949534,13,317943719,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00276227&obdobi=2412
2024,63,multi_school,founder:00231355,00231355,Městská část Praha 15,obec,13,0,0,0,0,13,426864385,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00231355&obdobi=2412
2024,64,multi_school,founder:00297313,00297313,Statutární město Třinec,obec,12,5,78230000,66864000,145094000,12,486782954,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00297313&obdobi=2412
2024,65,multi_school,founder:00261891,00261891,Statutární město Chomutov,obec,12,7,89429900,1495000,90924900,12,727350869,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00261891&obdobi=2412
2024,66,multi_school,founder:00293881,00293881,Město Znojmo,obec,12,6,65346290,7276821,72623111,12,556967848,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00293881&obdobi=2412
2024,67,multi_school,founder:00237051,00237051,Město Mělník,obec,12,7,53799050,356058,54155108,12,334028520,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00237051&obdobi=2412
2024,68,multi_school,founder:00265209,00265209,Město Louny,obec,12,5,40382498,11347842,51730340,12,336891357,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00265209&obdobi=2412
2024,69,multi_school,founder:00304387,00304387,Město Valašské Meziříčí,obec,12,3,48685000,0,48685000,12,319696397,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00304387&obdobi=2412
2024,70,multi_school,founder:00251810,00251810,Město Strakonice,obec,12,4,42578000,1710000,44288000,12,346482323,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00251810&obdobi=2412
2024,71,multi_school,founder:00265781,00265781,Město Žatec,obec,12,6,41520402,281253,41801655,12,334802996,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00265781&obdobi=2412
2024,72,multi_school,founder:00261718,00261718,Město Varnsdorf,obec,12,5,28450033,2191622,30641655,12,203610903,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00261718&obdobi=2412
2024,73,multi_school,founder:00261912,00261912,Město Kadaň,obec,12,5,28522000,120000,28642000,12,284475547,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00261912&obdobi=2412
2024,74,multi_school,founder:00063410,00063410,Městská část Praha 1,obec,12,0,0,0,0,12,414387417,founder_source_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00063410&obdobi=2412
2024,75,multi_school,founder:00297534,00297534,Statutární město Karviná,obec,11,3,100976473,8550000,109526473,11,575911874,recipient_schedule_required,,,,,https://monitor.statnipokladna.gov.cz/api/ukazatele?ic=00297534&obdobi=2412
