institution_id,ico,institution_name,municipality,region,evidence_status
school:70996881,70996881,"Mateřská škola a Základní škola Hronov - Velký Dřevíč, příspěvková organizace",Hronov,Královéhradecký,founder_registry_link_required
school:70695091,70695091,"Mateřská škola Křižany, okres Liberec, příspěvková organizace",Křižany,Liberecký,founder_registry_link_required
school:48283011,48283011,"Základní škola a Mateřská škola Pod Ralskem 572, Mimoň, příspěvková organizace",Mimoň,Liberecký,founder_registry_link_required
school:72743620,72743620,"Mateřská škola Turnov, Alešova 1140, příspěvková organizace",Turnov,Liberecký,founder_registry_link_required
school:48004561,48004561,"Základní škola a Mateřská škola Majakovského, Karviná, příspěvková organizace",Karviná,Moravskoslezský,founder_registry_link_required
school:70631760,70631760,"Základní škola a mateřská škola Ostrava-Zábřeh, Kosmonautů 13, příspěvková organizace",Ostrava,Moravskoslezský,founder_registry_link_required
school:70985529,70985529,"Mateřská škola Bochoř, okres Přerov, příspěvková organizace",Bochoř,Olomoucký,founder_registry_link_required
school:70996849,70996849,IČO 70996849,,Pardubický,founder_registry_link_required
school:70991502,70991502,IČO 70991502,,Praha,founder_registry_link_required
school:61384631,61384631,"Mateřská škola, Praha 4, Fillova 11",Praha,Praha,founder_registry_link_required
school:48665266,48665266,IČO 48665266,,Středočeský,founder_registry_link_required
school:70995117,70995117,IČO 70995117,,Středočeský,founder_registry_link_required
school:71002863,71002863,IČO 71002863,,Středočeský,founder_registry_link_required
school:70993947,70993947,"Mateřská škola Horní Němčí, okres Uherské Hradiště",Horní Němčí,Zlínský,founder_registry_link_required
school:70985227,70985227,"Mateřská škola Liptál, okres Vsetín, příspěvková organizace",Liptál,Zlínský,founder_registry_link_required
school:47791110,47791110,"Mateřská škola Louny, Dykova 2210, příspěvková organizace",Louny,Ústecký,founder_registry_link_required
school:49123785,49123785,"Mateřská škola Louny, Čs. armády 2371, příspěvková organizace",Louny,Ústecký,founder_registry_link_required
school:72744570,72744570,"Mateřská škola, Ústí nad Labem, Marxova 219/28, příspěvková organizace",Ústí nad Labem,Ústecký,founder_registry_link_required
