institution_id,amount,basis,certainty,note
school:65990994,19211322,realized,observed,FIN 2-01 PO account 672/673; school IČO 65990994
school:65991001,17243552,realized,observed,FIN 2-01 PO account 672/673; school IČO 65991001
school:65991184,9757634,realized,observed,FIN 2-01 PO account 672/673; school IČO 65991184
school:65991249,11819009,realized,observed,FIN 2-01 PO account 672/673; school IČO 65991249
school:65991257,9439136,realized,observed,FIN 2-01 PO account 672/673; school IČO 65991257
school:65993284,48235701,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993284
school:65993225,57837880,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993225
school:65993250,48693596,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993250
school:65993497,61585439,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993497
school:65993276,61091997,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993276
school:65993527,104323308,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993527
school:65990722,38836580,realized,observed,FIN 2-01 PO account 672/673; school IČO 65990722
school:65993373,10886931,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993373
school:65992911,43779235,realized,observed,FIN 2-01 PO account 672/673; school IČO 65992911
school:65993896,35978604,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993896
school:65994027,18865864,realized,observed,FIN 2-01 PO account 672/673; school IČO 65994027
school:65992971,16783568,realized,observed,FIN 2-01 PO account 672/673; school IČO 65992971
school:65993110,20055520,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993110
school:65993152,18265133,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993152
school:65993161,14603793,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993161
school:65993179,11942154,realized,observed,FIN 2-01 PO account 672/673; school IČO 65993179
school:45242810,62694454,realized,observed,FIN 2-01 PO account 672/673; school IČO 45242810
school:45246025,33804145,realized,observed,FIN 2-01 PO account 672/673; school IČO 45246025
school:47608579,115952460,realized,observed,FIN 2-01 PO account 672/673; school IČO 47608579
school:47609737,59091018,realized,observed,FIN 2-01 PO account 672/673; school IČO 47609737
school:47609842,51685800,realized,observed,FIN 2-01 PO account 672/673; school IČO 47609842
school:47610361,45692472,realized,observed,FIN 2-01 PO account 672/673; school IČO 47610361
school:47610425,40555594,realized,observed,FIN 2-01 PO account 672/673; school IČO 47610425
school:47610859,33486616,realized,observed,FIN 2-01 PO account 672/673; school IČO 47610859
school:47611014,51594281,realized,observed,FIN 2-01 PO account 672/673; school IČO 47611014
school:47611057,54679756,realized,observed,FIN 2-01 PO account 672/673; school IČO 47611057
school:47611073,51995663,realized,observed,FIN 2-01 PO account 672/673; school IČO 47611073
