institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00053155,00053155,93512738,9479910,6103635,1751873,2919215,66174955,5942052,1141098,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00053163,00053163,141611157,10567446,3634765,1088349,3212489,112391506,5504627,5211975,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00053198,00053198,41071359,2552614,930849,217725,1202423,33580137,1338085,1249526,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00054771,00054771,47339768,2665313,789864,3136548,3271939,34019287,1970745,1486072,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055069,00055069,66186961,6257855,3648888,833749,2803981,47275995,3495376,1871117,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055107,00055107,91963291,7821477,1738240,996872,2356108,67919948,6989471,4141175,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055166,00055166,85088558,6579996,2194223,326369,4145844,65774193,3576270,2491663,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055301,00055301,83232547,6005127,4966607,578807,1946591,63479685,2803564,3452166,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055468,00055468,70994820,6617411,2736577,1636172,3052641,49150071,5756441,2045507,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00056324,00056324,115327900,8893574,4310480,3301849,6606478,80899868,6902306,4413345,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066702,00066702,64656863,2693686,2355506,0,3245395,54318099,869425,1174752,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066711,00066711,61946469,2507811,1946715,478154,4266897,50833678,304549,1608665,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066729,00066729,55648760,872122,1122619,1460460,2241489,47095703,142764,2713603,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00068713,00068713,35355870,497341,913898,104385,782233,31837289,205228,1015496,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00069175,00069175,72652719,7225804,3643197,818896,3973358,55240023,493471,1257970,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
