institution_id,programme,project_name,amount,basis,certainty
school:72052422,Operační program Jan Amos Komenský,ZUŠ Žďár nad Sázavou - Šablony,824250,allocated,observed
school:72085355,Operační program Jan Amos Komenský,Šablony I JAK - ZUŠ Česká Třebová,392500,allocated,observed
school:70913536,Operační program Jan Amos Komenský,Šablony pro ZUŠ,416050,allocated,observed
school:63731983,Operační program Jan Amos Komenský,Šablony I - ZUŠ Sologubova Ostrava – Profesní rozvoj pedagogů,1204975,allocated,observed
school:00851914,Operační program Jan Amos Komenský,Šablony I - ZUŠ Valašské Meziříčí – Profesní rozvoj pedagogů,2849550,allocated,observed
school:47184442,Operační program Jan Amos Komenský,Šablony I - ZUŠ Přerov - Profesní rozvoj pedagogů,2657225,allocated,observed
school:60337346,Operační program Jan Amos Komenský,Klíček – otevírá bránu do světa poznání,443525,allocated,observed
school:62331647,Operační program Jan Amos Komenský,Šablony I - ZUŠ L.Janáčka Havířov – Profesní rozvoj pedagogů,2056700,allocated,observed
school:62073346,Operační program Jan Amos Komenský,Šablony OP JAK - Vzdělávání pedagogů,1507200,allocated,observed
school:65650808,Operační program Jan Amos Komenský,Šablony I pro ZŠ s RVTv Na Stínadlech v Teplicích,1236375,allocated,observed
school:47813504,Operační program Jan Amos Komenský,Šablony I - ZUŠ Hradec nad Moravicí – Profesní rozvoj pedagogů,741825,allocated,observed
school:70840628,Operační program Jan Amos Komenský,Šablony I - ZUŠ Tábor,1664200,allocated,observed
school:61989177,Operační program Jan Amos Komenský,Šablony I - ZUŠ Ostrava Petřkovice – Profesní rozvoj pedagogů,804625,allocated,observed
school:62330292,Operační program Jan Amos Komenský,Rozvoj profesních kompetencí pracovníků ZUŠ Nový Jičín,2256875,allocated,observed
school:70983119,Operační program Jan Amos Komenský,ZŠ Donín digitálně,667250,allocated,observed
school:46790039,Operační program Jan Amos Komenský,Sebevzdělávání,647625,allocated,observed
school:61985228,Operační program Jan Amos Komenský,Šablony I - ZUŠ Lipník nad Bečvou - Profesní rozvoj pedagogů,1071525,allocated,observed
school:70888396,Operační program Jan Amos Komenský,Šablony I OPJAK - ZŠ - POMSKOLA Jihlava,612300,allocated,observed
school:72745118,Operační program Jan Amos Komenský,Zvyšování kvality vzdělávání ZŠ Bystřany,102050,allocated,observed
school:61989207,Operační program Jan Amos Komenský,Rozvoj školy prostřednictvím vzdělávání jejich pedagogických pracovníků,847800,allocated,observed
school:64327981,Operační program Jan Amos Komenský,ZŠ Palackého Brno 002,510250,allocated,observed
school:70921580,Operační program Jan Amos Komenský,Rozvoj moderního předškolního učitele,235500,allocated,observed
school:70987238,Operační program Jan Amos Komenský,Rozvoj pedagogů,588750,allocated,observed
school:70695822,Operační program Jan Amos Komenský,Vzdělávání pracovníků ZŠ a MŠ,137375,allocated,observed
school:47659262,Operační program Jan Amos Komenský,Digitalizace má zelenou,1440475,allocated,observed
school:70986061,Operační program Jan Amos Komenský,Podpora vzdělávání zaměstnanců k profesnímu růstu,431750,allocated,observed
school:47324082,Operační program Jan Amos Komenský,Vzdělávání pro budoucnost,102050,allocated,observed
school:70238910,Operační program Jan Amos Komenský,Sebevzdělávání je naše cesta,502400,allocated,observed
school:47489791,Operační program Jan Amos Komenský,Podpora vzdělávání v ZUŠ Moravská Třebová,353250,allocated,observed
school:00583740,Operační program Jan Amos Komenský,"ZŠ Plešivec - OP JAK, Šablony I",1373750,allocated,observed
school:60075856,Operační program Jan Amos Komenský,Učíme se,200175,allocated,observed
school:70946710,Operační program Jan Amos Komenský,"MŠ Plešivec II - OP JAK, Šablony I",117750,allocated,observed
school:75156237,Operační program Jan Amos Komenský,Waldorfská škola Brno - šablony I,2366775,allocated,observed
school:47515767,Operační program Jan Amos Komenský,Vzdělávání zaměstnanců školy,690800,allocated,observed
school:00849898,Operační program Jan Amos Komenský,Šablony 4 OP JAK ZŠ Hlučín-Rovniny,2398175,allocated,observed
school:00847097,Operační program Jan Amos Komenský,"Zvyšování kvalit ve výuce na ZŠ a MŠ P. Bezruče, Třinec",1428700,allocated,observed
school:71010688,Operační program Jan Amos Komenský,Nové metody pedagogické práce - rozšíření vzdělání učitelů MŠ Dlažov,376800,allocated,observed
school:70872015,Operační program Jan Amos Komenský,Škola pro život,251200,allocated,observed
school:60275871,Operační program Jan Amos Komenský,Šablony OP JAK pro MŠ speciální Žatec,447450,allocated,observed
school:71295135,Operační program Jan Amos Komenský,Pokračujeme spolu II,380725,allocated,observed
school:71234357,Operační program Jan Amos Komenský,"Vzděláváme se, abychom kvalitně vzdělávali",102050,allocated,observed
school:48515027,Operační program Jan Amos Komenský,SŠ Gemini Brno - Šablony,781075,allocated,observed
school:00561151,Operační program Jan Amos Komenský,Vzdělávání pro pedagogy SZŠ FM,808550,allocated,observed
school:61385298,Operační program Jan Amos Komenský,Šablony I. OP JAK pro Gymnázium nad Kavalírkou,2421725,allocated,observed
school:00601675,Operační program Jan Amos Komenský,Metodická podpora výuky III,1554300,allocated,observed
school:47935774,Operační program Jan Amos Komenský,Profesní růst a rozvoj spolupráce a kolegiálního sdílení pracovníků gymnázia,1059750,allocated,observed
school:62690043,Operační program Jan Amos Komenský,Gybon - Podpora rozvoje učitelů III,463150,allocated,observed
school:60371757,Operační program Jan Amos Komenský,Rozvoj pracovníků ve vzdělávání,1177500,allocated,observed
school:00843407,Operační program Jan Amos Komenský,SPŠS Vsetín - osobnostně profesní rozvoj pedagogických pracovníků školy III,1695600,allocated,observed
school:48161209,Operační program Jan Amos Komenský,OP JAK Obchodní akademie Pardubice,1746625,allocated,observed
school:60884690,Operační program Jan Amos Komenský,OP JAK - šablony pro SŠ,879200,allocated,observed
school:49589679,Operační program Jan Amos Komenský,Šablony na OA Šumperk III,637846,allocated,observed
school:49518917,Operační program Jan Amos Komenský,GJP Mělník - šablony OP JAK,117750,allocated,observed
school:70831378,Operační program Jan Amos Komenský,Profesor III,537725,allocated,observed
school:70919704,Operační program Jan Amos Komenský,Šablony II MŠ Lešenská,417040,allocated,observed
school:17285241,Operační program Jan Amos Komenský,Umění nás baví 2,1142816,allocated,observed
school:71294597,Operační program Jan Amos Komenský,Šablony II MŠ Malkovského,1640624,allocated,observed
school:47795603,Operační program Jan Amos Komenský,ZŠ a MŠ Perštejn - Šablony 2,961792,allocated,observed
school:70985367,Operační program Jan Amos Komenský,Strom 2,673632,allocated,observed
school:68402112,Operační program Jan Amos Komenský,Šablony II MŠ Bojasova,593632,allocated,observed
school:70984522,Operační program Jan Amos Komenský,Škola hrou 2,343408,allocated,observed
school:72741830,Operační program Jan Amos Komenský,Jen talent nestačí 2,326816,allocated,observed
school:70698406,Operační program Jan Amos Komenský,MŠ Libčeves - Šablony 5,280000,allocated,observed
school:60433361,Operační program Jan Amos Komenský,Šablony II MŠ Korycanská,553632,allocated,observed
school:72049812,Operační program Jan Amos Komenský,Šablony II MŠ Krynická,583408,allocated,observed
school:72743140,Operační program Jan Amos Komenský,Svět radosti a objevování,439280,allocated,observed
school:70991472,Operační program Jan Amos Komenský,ZŠ Práče - šablony II z OP JAK,317040,allocated,observed
school:75023750,Operační program Jan Amos Komenský,Šablony OP JAK II MŠ Vavřinec,303856,allocated,observed
school:70867429,Operační program Jan Amos Komenský,OP JAK - Šablony II pro 70867429,1488160,allocated,observed
school:65991001,Operační program Jan Amos Komenský,Sluníčkovou soustavou za vědou a zábavou,520000,allocated,observed
school:00583596,Operační program Jan Amos Komenský,Škola pro život 2,947264,allocated,observed
school:71007911,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Vojkovice,323408,allocated,observed
school:75005476,Operační program Jan Amos Komenský,Inovace bez legrace,647616,allocated,observed
school:47922206,Operační program Jan Amos Komenský,Podpora kvality vzdělávání školního klubu Gymnázia Jiřího Wolkera Prostějov II,206816,allocated,observed
school:71294406,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Prostřední poříčí,293632,allocated,observed
school:21551189,Operační program Jan Amos Komenský,"Hudba, radost, umění 2",1005984,allocated,observed
school:60061821,Operační program Jan Amos Komenský,Klíč k soužití,683856,allocated,observed
school:70695067,Operační program Jan Amos Komenský,Šablony II - Základní škola a Mateřská škola Žalany,1182240,allocated,observed
school:70299803,Operační program Jan Amos Komenský,Šablony II OP JAK v MŠ Trnava,350672,allocated,observed
school:49624628,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ K Lukám,413632,allocated,observed
school:60084375,Operační program Jan Amos Komenský,Tvořivá škola,1059888,allocated,observed
school:71001662,Operační program Jan Amos Komenský,Poznáváme svět,297488,allocated,observed
school:72742186,Operační program Jan Amos Komenský,"Učíme se z věcí, ne o  věcech",405200,allocated,observed
school:75031795,Operační program Jan Amos Komenský,Hrajeme si od jara do zimy,466816,allocated,observed
school:00582778,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ U Zastávky,457936,allocated,observed
school:66289581,Operační program Jan Amos Komenský,"Tvůrčí přístup ke vzdělávání na ZUŠ F. A. Šporka, Jaroměř II.",499296,allocated,observed
school:72743301,Operační program Jan Amos Komenský,"To, čím budeš zítra, začíná tím, co uděláš dnes.",534704,allocated,observed
school:72741627,Operační program Jan Amos Komenský,Školka v pohodě II.,381792,allocated,observed
school:63822156,Operační program Jan Amos Komenský,Žijeme uměním,496000,allocated,observed
school:72085355,Operační program Jan Amos Komenský,Šablony II - ZUŠ Česká Třebová,849392,allocated,observed
school:46936688,Operační program Jan Amos Komenský,Šablony II v ZUŠ Kyjov,851408,allocated,observed
school:62073435,Operační program Jan Amos Komenský,Šablony OP JAK II ZŠ Vysočany,327264,allocated,observed
school:28859235,Operační program Jan Amos Komenský,ZŠ a MŠ Orlické Záhoří - šablony OP JAK II.,520000,allocated,observed
school:17661081,Operační program Jan Amos Komenský,"AŤ TEN, KDO ŘÍKÁ, ŽE NĚCO NEJDE, NEZDRŽUJE TOHO, KDO TO DĚLÁ",469488,allocated,observed
school:72566639,Operační program Jan Amos Komenský,Tvoříme společně 2,1168000,allocated,observed
school:71004394,Operační program Jan Amos Komenský,Příběhy skřítka II,337936,allocated,observed
school:71221247,Operační program Jan Amos Komenský,Koťátka a Slůňátka,345200,allocated,observed
school:44226268,Operační program Jan Amos Komenský,ZŠ Neštěmická - Šablony 2,1287264,allocated,observed
school:70990051,Operační program Jan Amos Komenský,OP JAK II - Rozvoj MŠ Banín,277488,allocated,observed
school:70828121,Operační program Jan Amos Komenský,ZUŠ Blovice - Šablony 2,320000,allocated,observed
school:75033372,Operační program Jan Amos Komenský,Učíme se pro budoucnost,630672,allocated,observed
school:75015391,Operační program Jan Amos Komenský,Rovný přístup ke vzdělání v MŠ Kacákova Lhota II.,295872,allocated,observed
school:75033241,Operační program Jan Amos Komenský,Poznáváme svět,286816,allocated,observed
school:70992321,Operační program Jan Amos Komenský,MŠ Nelahozeves 2024-2026,430672,allocated,observed
school:75034298,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Libčice nad Vltavou,530224,allocated,observed
school:72744022,Operační program Jan Amos Komenský,Včelka Matylda,297040,allocated,observed
school:70991618,Operační program Jan Amos Komenský,Šablony Křižanovice II,660000,allocated,observed
school:70934479,Operační program Jan Amos Komenský,OP JAK ZŠ Zaječí II,588608,allocated,observed
school:69170207,Operační program Jan Amos Komenský,"Co Čech, to muzikant",570224,allocated,observed
school:75033615,Operační program Jan Amos Komenský,Šablony II OP JAK pro ZŠ Vraný,340448,allocated,observed
school:61384518,Operační program Jan Amos Komenský,Kvalitní vzdělávání v ZŠ a MŠ Sdružení,1907264,allocated,observed
school:75034310,Operační program Jan Amos Komenský,ZŠ a MŠ Čistá - Šablony 2,670672,allocated,observed
school:75029481,Operační program Jan Amos Komenský,"ZŠ a MŠ Babice, Šablony II",617488,allocated,observed
school:75031523,Operační program Jan Amos Komenský,Podpora žáků ZŠKH ohrožených školní neúspěšností,1093632,allocated,observed
school:70999864,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ a MŠ Radim,617040,allocated,observed
school:71198920,Operační program Jan Amos Komenský,Umění nás baví,614816,allocated,observed
school:75034051,Operační program Jan Amos Komenský,Šablony OPJAK II 1.ZŠ Mladá Boleslav,912464,allocated,observed
school:75024128,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ a MŠ Puklice,985008,allocated,observed
school:00851914,Operační program Jan Amos Komenský,Šablony II - ZUŠ Valašské Meziříčí - Profesní rozvoj pedagogů,1189392,allocated,observed
school:60075945,Operační program Jan Amos Komenský,Logopedická škola 2,340000,allocated,observed
school:71000542,Operační program Jan Amos Komenský,Bezpečně ve škole,320000,allocated,observed
school:67673759,Operační program Jan Amos Komenský,MŠ V Lukách Rakovník - Spolu rosteme,419728,allocated,observed
school:71004777,Operační program Jan Amos Komenský,OP JAK - Šablony II - ZŠ Merklín,390224,allocated,observed
school:62330322,Operační program Jan Amos Komenský,Šablony II - ZUŠ Z. Buriana Kopřivnice - Profesní rozvoj pedagogů a inovativní vzdělávání žáků,807744,allocated,observed
school:17658209,Operační program Jan Amos Komenský,"VAPO_Vzdělávání Aktivizace, Proměna, Objevování",700448,allocated,observed
school:70830835,Operační program Jan Amos Komenský,JEDEME V TOM SPOLEČNĚ napříč uměním,416000,allocated,observed
school:00832375,Operační program Jan Amos Komenský,Dovednostní rozvoj SVČ Smajlík,265040,allocated,observed
school:60610565,Operační program Jan Amos Komenský,OP JAK - Šablony II - ZŠ a MŠ Potůčky,320448,allocated,observed
school:48135143,Operační program Jan Amos Komenský,Šablony II ZUŠ Lounských Praha,1196208,allocated,observed
school:70913536,Operační program Jan Amos Komenský,Šablony pro ZUŠ II,476304,allocated,observed
school:68213336,Operační program Jan Amos Komenský,Šablony pro ZUŠ II,563408,allocated,observed
school:64120341,Operační program Jan Amos Komenský,Kvalitní vzdělávání v ZŠ J. Čapka,1115872,allocated,observed
school:70997080,Operační program Jan Amos Komenský,Kvalitní vzdělávání v MŠ Vážany,280000,allocated,observed
school:70985791,Operační program Jan Amos Komenský,MŠ Pomezí 283 OPJAK II.,300000,allocated,observed
school:75034247,Operační program Jan Amos Komenský,MŠ DŘÍNOV 2024-2026,307264,allocated,observed
school:70920401,Operační program Jan Amos Komenský,Šablony II pro MŠ U Nové školy,272640,allocated,observed
school:72066661,Operační program Jan Amos Komenský,Šablony II - ZUŠ Králíky,568608,allocated,observed
school:70985235,Operační program Jan Amos Komenský,Šablony V.,344304,allocated,observed
school:64628124,Operační program Jan Amos Komenský,Šablona II OPJAK - Rozvoj a zkvalitnění předškolního vzdělávání v MŠ Na Robinsonce,411120,allocated,observed
school:70940878,Operační program Jan Amos Komenský,Šablony II - 91. MŠ Plzeň,582864,allocated,observed
school:75022486,Operační program Jan Amos Komenský,Šablony II OP JAK v MŠ Martinice,348160,allocated,observed
school:75034816,Operační program Jan Amos Komenský,Cesta za poznáním II,313632,allocated,observed
school:60337346,Operační program Jan Amos Komenský,Klíčem k poznání a úspěchu je celoživotní vzdělávání,347616,allocated,observed
school:71006087,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ Dohalice,360448,allocated,observed
school:61989762,Operační program Jan Amos Komenský,OP JAK II. - ZŠ Uničov Šternberská,406992,allocated,observed
school:47922516,Operační program Jan Amos Komenský,"Podpora kvality vzdělávání na ZŠ Dr. Horáka, Prostějov II",1710576,allocated,observed
school:70990841,Operační program Jan Amos Komenský,Šablony II - Moderní vzdělávání v ZŠ a MŠ Věšín,631120,allocated,observed
school:70986797,Operační program Jan Amos Komenský,Kvalitní vzdělávání v ZŠ a MŠ Vysoká,890672,allocated,observed
school:75017458,Operační program Jan Amos Komenský,Šablony II JAK - MŠ Sluníčko,414080,allocated,observed
school:71006761,Operační program Jan Amos Komenský,MŠ Lásenice II,284304,allocated,observed
school:49056972,Operační program Jan Amos Komenský,Šablony II ZUŠ Žirovnice,269632,allocated,observed
school:75026597,Operační program Jan Amos Komenský,Zlepšování kvality vzdělávání II,310224,allocated,observed
school:75023806,Operační program Jan Amos Komenský,Šablony II ZŠ a MŠ Dobrá Voda,613632,allocated,observed
school:48133906,Operační program Jan Amos Komenský,Společně to zvládneme II,1170672,allocated,observed
school:70981183,Operační program Jan Amos Komenský,Šablony II OP JAK pro MŠ Paceřice,313632,allocated,observed
school:64782042,Operační program Jan Amos Komenský,ZUŠ Slatiňany - Šablony 2,544000,allocated,observed
school:70985421,Operační program Jan Amos Komenský,OP JAK II. - MŠ Nová Hradečná,310672,allocated,observed
school:75029294,Operační program Jan Amos Komenský,MŠ Staré Město 034,293632,allocated,observed
school:71294091,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ a MŠ v Olešnici v Orlických horách,567264,allocated,observed
school:70989729,Operační program Jan Amos Komenský,Šablony II. - MŠ Zlonice,367264,allocated,observed
school:70981531,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ a MŠ Rychnov u Jablonce nad Nisou,1520624,allocated,observed
school:70188386,Operační program Jan Amos Komenský,Pro děti a budoucnost,304032,allocated,observed
school:70990549,Operační program Jan Amos Komenský,Šablony OP JAK II - MŠ Ždírec,294080,allocated,observed
school:70695148,Operační program Jan Amos Komenský,Šablony II OP JAK - ZŠ a MŠ Martinice v Krkonoších,637488,allocated,observed
school:49753495,Operační program Jan Amos Komenský,OP JAK - Šablony II - MŠ Ostrov Masarykova,580448,allocated,observed
school:70984921,Operační program Jan Amos Komenský,Šablony 2 OP JAK MŠ Žižkovo Pole,287712,allocated,observed
school:60610328,Operační program Jan Amos Komenský,OP JAK - Šablony II - MŠ Rozvadov,293632,allocated,observed
school:70853584,Operační program Jan Amos Komenský,Šablony II ZUŠ Velké Pavlovice,272640,allocated,observed
school:72742291,Operační program Jan Amos Komenský,MŠ Dubice 034,280000,allocated,observed
school:75034719,Operační program Jan Amos Komenský,Společná cesta za novým poznáním,554976,allocated,observed
school:75026961,Operační program Jan Amos Komenský,Inovativní výuka v ZŠ Okružní II,1253632,allocated,observed
school:70645558,Operační program Jan Amos Komenský,Inovace ve výuce v ZŠ Andělská Hora,486816,allocated,observed
school:70924228,Operační program Jan Amos Komenský,Šablony II - MŠ Praha 10 - Kodaňská,507712,allocated,observed
school:72566779,Operační program Jan Amos Komenský,"Ze stromu umění si člověk trhá tam, kam dostane...",1318816,allocated,observed
school:70995036,Operační program Jan Amos Komenský,Šablony v MŠ Nevcehle II,290224,allocated,observed
school:75034697,Operační program Jan Amos Komenský,Objevujeme svět,471568,allocated,observed
