institution_id,founder_id,amount,basis,certainty,attribution_method,source_document_kind,source_recipient_name,match_method,source_url,note
school:00069621,founder:00064581,10035000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola dostihového sportu a jezdectví,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00300268,founder:00064581,35720000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední odborná škola Jarov,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00335479,founder:00064581,10000000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 4, Budějovická 680",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00335487,founder:00064581,8000000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 4, Na Vítězné pláni 1160",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00335533,founder:00064581,5600000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium Elišky Krásnohorské, Praha 4 - Michle, Ohradní 55",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00497070,founder:00064581,17028000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední škola automobilní, informatiky a Gymnázium",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00549185,founder:00064581,5077000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola obchodní,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638463,founder:00064581,7623000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638625,founder:00064581,10251000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola a Mateřská škola Aloyse Klara,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:00638722,founder:00064581,8438000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 4, 5. května 51",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
