institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:60552255,132832344,11555669,992100,50247028,0,0,allocated,observed
school:70837911,118081464,5521838,320927,43013949,0,0,allocated,observed
school:18383696,107272706,8236241,5434723,40197113,0,0,allocated,observed
school:00582158,100520264,10610005,9534055,38673334,0,0,allocated,observed
school:14891212,101289816,11161096,3002939,39132917,0,0,allocated,observed
school:00300268,99610667,8976311,3097823,37788269,0,0,allocated,observed
school:69457930,89418645,8130087,10688569,33946958,0,0,allocated,observed
school:18383874,93009819,7802660,1365746,35082743,0,0,allocated,observed
school:49872427,94274308,6227027,688642,34974464,0,0,allocated,observed
school:00226475,91432418,8707989,1042090,34848862,0,0,allocated,observed
school:66610702,88841236,7354746,3655783,33476202,0,0,allocated,observed
school:60545992,82891321,7445402,3883129,31437179,0,0,allocated,observed
school:62690361,87429459,5204532,503645,32236629,0,0,allocated,observed
school:00380385,85509623,6364582,661600,31972223,0,0,allocated,observed
school:00555878,85223990,6131915,1349946,31791855,0,0,allocated,observed
school:00600920,85113881,5716989,500534,31609143,0,0,allocated,observed
school:14891522,79318381,7610918,3642156,30251396,0,0,allocated,observed
school:15530213,82745055,6109436,646600,30921363,0,0,allocated,observed
school:00875911,82816383,4286093,1713193,30311662,0,0,allocated,observed
school:49774301,81746906,5105570,641434,30224662,0,0,allocated,observed
school:00669695,80519926,5989969,591332,30105444,0,0,allocated,observed
school:00602078,81705060,3857092,203334,29775629,0,0,allocated,observed
school:00219321,69410337,7630676,10146909,26810272,0,0,allocated,observed
school:41324641,76009683,6325524,2689266,28652652,0,0,allocated,observed
school:62157213,79974925,3766730,202642,29142096,0,0,allocated,observed
school:72085428,73515604,5896930,5559905,27635561,0,0,allocated,observed
school:14451018,73293859,7468850,3509891,28105423,0,0,allocated,observed
school:00077461,72782473,6742207,4558128,27674589,0,0,allocated,observed
school:62072757,75712121,4170788,1512455,27799252,0,0,allocated,observed
school:15062848,73661899,5722947,1041629,27625926,0,0,allocated,observed
school:13644319,74520305,5053717,508151,27691759,0,0,allocated,observed
school:46749799,76733917,2724143,378666,27651405,0,0,allocated,observed
school:70918805,74554362,3822764,1399572,27275240,0,0,allocated,observed
school:00053163,70178360,5928741,4394545,26485271,0,0,allocated,observed
school:72744260,73255157,5448882,341253,27389005,0,0,allocated,observed
school:02013762,72845465,5436579,474252,27242151,0,0,allocated,observed
school:60680342,71051222,5641808,1757307,26689174,0,0,allocated,observed
school:63834286,74009896,3500392,194898,26973580,0,0,allocated,observed
school:13644297,74182198,3164901,337164,26916790,0,0,allocated,observed
school:44555091,73865500,2818543,550631,26686047,0,0,allocated,observed
school:69456330,68780120,7150244,470160,26423767,0,0,allocated,observed
school:00082201,69448478,5826771,1190838,26195786,0,0,allocated,observed
school:00638722,70008890,5781474,490834,26375047,0,0,allocated,observed
school:48133876,70720638,3756218,1390283,25917946,0,0,allocated,observed
school:00510874,67957785,6705738,561740,25982906,0,0,allocated,observed
school:00836591,68614268,5969595,505120,25955185,0,0,allocated,observed
school:69457425,68388493,5396239,1236296,25677086,0,0,allocated,observed
school:46773495,68417705,4993166,1428107,25546983,0,0,allocated,observed
school:70993165,68377267,5727921,379995,25788606,0,0,allocated,observed
school:00559644,68145594,5481094,489300,25622088,0,0,allocated,observed
school:00638013,64307809,7109511,2493824,24853227,0,0,allocated,observed
school:00581101,67892638,4541143,430044,25206956,0,0,allocated,observed
school:48161179,66232006,5509055,1338483,24965890,0,0,allocated,observed
school:00638005,66975177,5375506,465288,25178038,0,0,allocated,observed
school:00527939,65712285,6598317,508140,25164089,0,0,allocated,observed
school:00559415,66209010,5062294,482516,24802414,0,0,allocated,observed
school:48895598,65442819,5543292,759149,24703167,0,0,allocated,observed
school:00851167,63010395,5938905,1461091,23994356,0,0,allocated,observed
school:00082627,64569343,4675646,559838,24097256,0,0,allocated,observed
school:63154617,64445306,4120305,973097,23860833,0,0,allocated,observed
school:00600938,64201176,4595873,396360,23941373,0,0,allocated,observed
school:66610699,63268989,5018387,450840,23764007,0,0,allocated,observed
school:46747991,63245887,4965201,522660,23737459,0,0,allocated,observed
school:00673358,63067318,5071874,465322,23712439,0,0,allocated,observed
school:00601799,64021853,3661802,495531,23553912,0,0,allocated,observed
school:61389838,63086426,3338547,1048883,23115891,0,0,allocated,observed
school:00566381,62580383,4108596,546260,23207765,0,0,allocated,observed
school:00497070,56198967,6670586,5541810,21878605,0,0,allocated,observed
school:00511382,59801890,4887063,2612819,22511756,0,0,allocated,observed
school:00843351,60790732,4173842,436206,22607672,0,0,allocated,observed
school:49438816,60860693,3894491,475882,22534804,0,0,allocated,observed
school:63289938,60501264,3485277,999413,22267316,0,0,allocated,observed
school:00601781,60859358,3489501,460432,22393403,0,0,allocated,observed
school:00526517,57573959,5225776,2365853,21854307,0,0,allocated,observed
school:75030365,59629736,3879370,1114349,22101169,0,0,allocated,observed
school:48623725,59227016,4570530,379537,22201546,0,0,allocated,observed
school:00125423,57048805,5034304,1968029,21604922,0,0,allocated,observed
school:00844691,53253756,5312530,6341725,20381068,0,0,allocated,observed
school:70944687,58755575,3637748,952655,21712876,0,0,allocated,observed
school:13644301,56927448,4905124,1248791,21517735,0,0,allocated,observed
school:14891263,57766489,4592242,521343,21700838,0,0,allocated,observed
school:00601691,58717081,3704031,372605,21722547,0,0,allocated,observed
school:00177032,56071973,5480441,1411482,21420240,0,0,allocated,observed
school:00566756,58019414,3915677,316442,21553412,0,0,allocated,observed
school:61388424,58455318,2769227,1073132,21306141,0,0,allocated,observed
school:49314866,55957897,4820080,1382289,21150736,0,0,allocated,observed
school:49629077,55470917,5857755,480240,21342378,0,0,allocated,observed
school:00582239,56515131,4857945,387288,21357831,0,0,allocated,observed
school:62537784,57441196,3244787,1103672,21118722,0,0,allocated,observed
school:75023920,57821491,2899876,1012882,21131036,0,0,allocated,observed
school:13582968,56959309,4176666,372266,21275320,0,0,allocated,observed
school:49766929,53543006,5478046,2868879,20539327,0,0,allocated,observed
school:00559482,56707430,4130037,412420,21171439,0,0,allocated,observed
school:47611863,57063831,3180134,1118058,20964900,0,0,allocated,observed
school:47608579,56564031,3356761,1144934,20852436,0,0,allocated,observed
school:60433230,56860163,3170367,939771,20890624,0,0,allocated,observed
school:00664740,52672192,5749322,3081243,20330687,0,0,allocated,observed
school:00559105,56219167,3415373,464164,20752820,0,0,allocated,observed
school:72549581,54143431,4833549,1194302,20523989,0,0,allocated,observed
school:69781745,55511481,3417485,997405,20507281,0,0,allocated,observed
school:62073516,54444975,4501158,935814,20513254,0,0,allocated,observed
school:70567981,55584632,3115227,957575,20427551,0,0,allocated,observed
school:61515451,55480419,3594678,419185,20558134,0,0,allocated,observed
school:49872559,55682376,3354279,399027,20544756,0,0,allocated,observed
school:00637998,54973690,4054878,379980,20541942,0,0,allocated,observed
