institution_id,institution_name,ico,founder_id,founder_name,founder_type,municipality,region
school:60552255,IČO 60552255,60552255,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:70837911,IČO 70837911,70837911,founder:00064581,Hlavní město Praha,kraj,,Praha
school:18383696,IČO 18383696,18383696,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:00582158,IČO 00582158,00582158,founder:70890650,Jihočeský kraj,kraj,,Jihočeský
school:14891212,IČO 14891212,14891212,founder:00064581,Hlavní město Praha,kraj,,Praha
school:00300268,IČO 00300268,00300268,founder:00064581,Hlavní město Praha,kraj,,Praha
school:69457930,IČO 69457930,69457930,founder:70890366,Plzeňský kraj,kraj,,Plzeňský
school:18383874,IČO 18383874,18383874,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:49872427,IČO 49872427,49872427,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:00226475,IČO 00226475,00226475,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:66610702,IČO 66610702,66610702,founder:70890749,Kraj Vysočina,kraj,,Vysočina
school:60545992,IČO 60545992,60545992,founder:70890749,Kraj Vysočina,kraj,,Vysočina
school:62690361,IČO 62690361,62690361,founder:70889546,Královéhradecký kraj,kraj,,Královéhradecký
school:00380385,IČO 00380385,00380385,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:00555878,IČO 00555878,00555878,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:00600920,IČO 00600920,00600920,founder:70890692,Moravskoslezský kraj,kraj,,Moravskoslezský
school:14891522,IČO 14891522,14891522,founder:00064581,Hlavní město Praha,kraj,,Praha
school:15530213,IČO 15530213,15530213,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:00875911,IČO 00875911,00875911,founder:00240427,Zřizovatel IČO 00240427,obec,,Středočeský
school:49774301,IČO 49774301,49774301,founder:70890366,Plzeňský kraj,kraj,,Plzeňský
school:00669695,IČO 00669695,00669695,founder:70890366,Plzeňský kraj,kraj,,Plzeňský
school:00602078,IČO 00602078,00602078,founder:70890692,Moravskoslezský kraj,kraj,,Moravskoslezský
school:00219321,IČO 00219321,00219321,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:41324641,IČO 41324641,41324641,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:62157213,IČO 62157213,62157213,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:72085428,IČO 72085428,72085428,founder:70892822,Zřizovatel IČO 70892822,obec,,Pardubický
school:14451018,IČO 14451018,14451018,founder:70891508,Liberecký kraj,kraj,,Liberecký
school:00077461,IČO 00077461,00077461,founder:70891168,Karlovarský kraj,kraj,,Karlovarský
school:62072757,IČO 62072757,62072757,founder:00279978,Zřizovatel IČO 00279978,obec,,Jihomoravský
school:15062848,IČO 15062848,15062848,founder:70889546,Královéhradecký kraj,kraj,,Královéhradecký
school:13644319,IČO 13644319,13644319,founder:70890692,Moravskoslezský kraj,kraj,,Moravskoslezský
school:46749799,IČO 46749799,46749799,founder:70891508,Liberecký kraj,kraj,,Liberecký
school:70918805,IČO 70918805,70918805,founder:00231291,Zřizovatel IČO 00231291,obec,,Praha
school:00053163,IČO 00053163,00053163,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:72744260,IČO 72744260,72744260,founder:00261891,Zřizovatel IČO 00261891,obec,,Ústecký
school:02013762,IČO 02013762,02013762,founder:70892822,Zřizovatel IČO 70892822,obec,,Pardubický
school:60680342,IČO 60680342,60680342,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:63834286,IČO 63834286,63834286,founder:00064581,Hlavní město Praha,kraj,,Praha
school:13644297,IČO 13644297,13644297,founder:70890692,Moravskoslezský kraj,kraj,,Moravskoslezský
school:44555091,IČO 44555091,44555091,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:69456330,IČO 69456330,69456330,founder:70890366,Plzeňský kraj,kraj,,Plzeňský
school:00082201,IČO 00082201,00082201,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:00638722,IČO 00638722,00638722,founder:00064581,Hlavní město Praha,kraj,,Praha
school:48133876,IČO 48133876,48133876,founder:00231223,Zřizovatel IČO 00231223,obec,,Praha
school:00510874,IČO 00510874,00510874,founder:70890650,Jihočeský kraj,kraj,,Jihočeský
school:00836591,IČO 00836591,00836591,founder:70890749,Kraj Vysočina,kraj,,Vysočina
school:69457425,IČO 69457425,69457425,founder:70890366,Plzeňský kraj,kraj,,Plzeňský
school:46773495,IČO 46773495,46773495,founder:70892156,Ústecký kraj,kraj,,Ústecký
school:70993165,IČO 70993165,70993165,founder:00286010,Zřizovatel IČO 00286010,obec,,Vysočina
school:00559644,IČO 00559644,00559644,founder:70891320,Zlínský kraj,kraj,,Zlínský
school:00638013,IČO 00638013,00638013,founder:70888337,Jihomoravský kraj,kraj,,Jihomoravský
school:00581101,IČO 00581101,00581101,founder:70889546,Královéhradecký kraj,kraj,,Královéhradecký
school:48161179,IČO 48161179,48161179,founder:70892822,Zřizovatel IČO 70892822,obec,,Pardubický
