reporting_year,action_id,budget_area_code,action_type_code,financing_code,status_code,project_name,total_cost_czk,adjusted_budget_czk,paid_czk,sfdi_paid_czk,eu_paid_czk,region_code,investor_name,investor_ico,investor_address,start_period,end_period,source_url
2024,3271110901,60,a1,G,G,Protihluková opatření INV,3436998000.00,137436000.00,137436000.00,137436000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271111006,60,a1,PO3.1,R-D,I/16 Slaný - Velvary,1381475000.00,114000.00,81884.53,81884.53,0.00,STC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",12/17,06/21,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271111011,60,a1,PO3.1,R-D,"I/9, I/16 Mělník obchvat 2. stavba",598962000.00,3130000.00,3130000.00,3130000.00,0.00,STC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",09/21,12/22,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271111015,60,a1,PO3.1,R-D,I/38 Církvice obchvat,854616000.00,20879000.00,20879000.00,20879000.00,0.00,STC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",09/20,04/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271111056,60,a1,PO3.1,R-D,I/3 Olbramovice přeložka,650869000.00,13849000.00,13846347.00,13846347.00,0.00,STC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",04/21,09/23,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271112014,60,a1,T7,R,I/34 Lišov - Vranín,1638590000.00,563733000.00,563733000.00,297939000.00,265794000.00,JHC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",02/23,04/26,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271112020,60,a1,PO3.1,R-D,I/34 Stráž nad Nežárkou - Lásenice,384457000.00,24049000.00,24049000.00,24049000.00,0.00,JHC,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",08/21,02/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271113002,60,a1,PO3.1,R-D,"I/27 Šlovice - Přeštice, přeložka",1905026000.00,289577000.00,289577000.00,193312000.00,96265000.00,PLZ,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",04/20,09/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271113009,60,a1,PO3.1,R,I/27 Klatovy přeložka 1. stavba,1653057000.00,269988000.00,269988000.00,269988000.00,0.00,PLZ,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",11/21,05/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,3271114068,60,a1,N,R,I/27 Žiželice obchvat a přemostění,1183982000.00,46665000.00,46649177.00,46649177.00,0.00,UST,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",08/22,03/26,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
